Vendor Number,cost,price
"TH032.BK5060","$18.20","$49.50"
"TH032.R5060","$18.20","$49.50"
"TH140.M5060","$45.50","$99.00"
"TH143.GY5060","$45.50","$99.00"
"TH162.M5060","$42.25","$99.00"
"TH329.N5060","$20.80","$59.50"
"TH329.BK5060","$20.80","$59.50"
"TH329.I5060","$20.80","$59.50"
"TH509.S5060","$26.65","$69.50"
"TH510.GL5060","$26.65","$69.50"
"TH120.GY5060","$24.70","$69.50"
"TH120.I5060","$24.70","$69.50"
"TH191.GY5060","$22.75","$59.50"
"TH191.SE5060","$22.75","$59.50"
"FT332.R17S","$16.25","$49.50"
"FT332.W17S","$16.25","$49.50"
"1003.S20S","$15.28","$49.50"
"1025.GL18S","$20.80","$59.50"
"1025.S18S","$20.80","$59.50"
"1612.GL20S","$16.90","$59.50"
"1968.R18S","$15.93","$49.50"
"1968.W18S","$15.93","$49.50"
"2023.M1218B","$14.63","$59.50"
"2081.GL1218B","$14.30","$59.50"
"2081.S1218B","$14.30","$59.50"
"3202.GL18S","$24.70","$59.50"
"3202.S18S","$24.70","$59.50"
"3205.GY18S","$26.00","$69.50"
"3211.I18S","$24.70","$69.50"
"3519.GY20S","$20.80","$49.50"
"3519.I20S","$20.80","$49.50"
"3519.P20S","$20.80","$49.50"
"3519.W20S","$20.80","$49.50"
"3566.N16S","$61.75","$149.00"
"3566.ST16S","$61.75","$149.00"
"4122.M1420B","$14.95","$49.50"
"4126.N1420B","$16.90","$49.50"
"5483.M16S","$11.38","$49.50"
"7755.M1320B","$14.95","$59.50"
"162.M18S","$11.70","$59.50"
